 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 18.1/(FRExt)| 01/07 | 16:59 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 35.482| 40.935| 42.534| 219840| 211120|      0|   432640|          17550   |          11512   |
| 18.1/(FRExt)| 01/07 | 17:31 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 35.482| 40.935| 42.534| 219840| 211120|      0|   432640|          11974   |          11217   |
| 18.1/(FRExt)| 01/07 | 17:51 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 35.912| 41.039| 42.503| 219840| 202480|      0|   424000|          19637   |          11178   |
| 18.1/(FRExt)| 01/08 | 10:31 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.578| 41.045| 42.546| 219840| 164640|      0|   386160|          12235   |          11524   |
| 18.1/(FRExt)| 01/08 | 15:38 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.578| 41.045| 42.546| 219840| 164640|      0|   386160|          12539   |          11801   |
| 18.1/(FRExt)| 01/09 | 15:15 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.644| 41.027| 42.687| 219840| 139440|      0|   360960|          12215   |          11485   |
| 18.1/(FRExt)| 01/09 | 15:16 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.644| 41.027| 42.687| 219840| 139440|      0|   360960|          12241   |          11516   |
| 18.1/(FRExt)| 01/09 | 15:32 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.644| 41.027| 42.687| 219840| 139440|      0|   360960|          21141   |          11550   |
| 18.1/(FRExt)| 03/09 | 09:24 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.644| 41.027| 42.687| 219840| 139440|      0|   360960|          12241   |          11511   |
| 18.1/(FRExt)| 03/09 | 09:31 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.644| 41.027| 42.687| 219840| 139440|      0|   360960|          12237   |          11522   |
| 18.1/(FRExt)| 03/17 | 17:58 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.650| 41.225| 42.998| 219840| 130080|      0|   351600|          13657   |          12807   |
| 18.1/(FRExt)| 03/17 | 18:42 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.650| 41.225| 42.998| 219840| 130080|      0|   351600|          12207   |          11496   |
| 18.1/(FRExt)| 03/17 | 19:20 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.650| 41.225| 42.998| 219840| 130080|      0|   351600|          12265   |          11556   |
| 18.1/(FRExt)| 03/17 | 19:51 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.650| 41.225| 42.998| 219840| 130080|      0|   351600|        1881897   |         766866   |
| 18.1/(FRExt)| 03/17 | 19:52 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 36.650| 41.225| 42.998| 219840| 130080|      0|   351600|          12297   |          11577   |
| 18.1/(FRExt)| 03/24 | 21:05 |                              mobile.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FFS |  022 |   7 |  1  | 50.00| CAVLC|   1  |   OFF   |  0  | 39.666| 40.200| 40.268| 37.856| 39.240| 39.239| 292472|7072320|      0|  7364960|         138469   |          62246   |
| 18.1/(FRExt)| 04/07 | 15:33 |                              mobile.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FFS |  022 |   7 |  1  | 50.00| CAVLC|   1  |   OFF   |  0  | 39.666| 40.200| 40.268| 37.823| 39.242| 39.237| 292472|7076120|      0|  7368760|         140378   |          62590   |
| 18.1/(FRExt)| 04/09 | 11:29 |                              mobile.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FFS |  022 |   7 |  1  | 50.00| CAVLC|   1  |   OFF   |  0  | 39.666| 40.200| 40.268| 37.823| 39.242| 39.237| 292472|7076120|      0|  7368760|         145617   |          64786   |
| 18.1/(FRExt)| 04/09 | 14:37 |                              mobile.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FFS |  022 |   7 |  1  | 50.00| CAVLC|   1  |   OFF   |  0  | 39.666| 40.200| 40.268| 37.961| 39.353| 39.387| 292472|7329392|      0|  7622032|         230783   |         149974   |
| 18.1/(FRExt)| 04/09 | 14:40 |                              mobile.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FFS |  022 |   7 |  1  | 50.00| CAVLC|   1  |   OFF   |  0  | 39.666| 40.200| 40.268| 37.938| 39.352| 39.366| 292472|7345768|      0|  7638408|         145105   |          64593   |
| 18.1/(FRExt)| 04/10 | 17:58 |                              mobile.cif|   50 |  0/0  | 24 | 24 | 30 | 352x288 |    0  |  0 |  FFS |  022 |   7 |  1  | 50.00| CAVLC|   1  |   OFF   |  0  | 39.666| 40.200| 40.268| 39.014| 39.342| 39.359| 292472|6576768|      0|  6869408|         134411   |          61414   |
